2025-04-04 05:32:25,980 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2025-04-04 05:32:25,981 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2025-04-04 05:32:25,981 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2025-04-04 05:32:25,982 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2025-04-04 05:32:25,982 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2025-04-04 05:32:25,983 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2025-04-04 05:32:25,983 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,984 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,984 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,985 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,985 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,985 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,986 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,986 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,987 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,987 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,988 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,988 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:25,989 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,989 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,990 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,990 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,991 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,992 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,992 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,993 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,993 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,994 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,994 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:25,995 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:25,995 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:25,996 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:25,996 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2025-04-04 05:32:25,997 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2025-04-04 05:32:25,997 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:25,998 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:25,998 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:25,999 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,000 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,000 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,001 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,001 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,002 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,002 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,003 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
